ash_id,zircon_id,age_ma,sigma_ma,depth_down_m
Gujiao:GJ-ASH-10,GJ10_z4s,251.71,0.0465,50.8
Gujiao:GJ-ASH-10,GJ10_z5,251.759,0.0375,50.8
Gujiao:GJ-ASH-10,GJ10_z7,251.81,0.06,50.8
Gujiao:GJ-ASH-10,GJ10_z3,251.824,0.0385,50.8
Gujiao:GJ-ASH-10,GJ10_z6,252.39,0.1,50.8
Gujiao:GJ-ASH-10,GJ10_z1f,252.735,0.0435,50.8
Gujiao:GJ-ASH-10,GJ10_8,253.69,0.07,50.8
Gujiao:GJ-ASH-10,GJ10_z2,254.09,0.06,50.8
Gujiao:GJ-ASH-36c,GJ36c_2,251.549,0.0495,46.8
Gujiao:GJ-ASH-36c,GJ36c_z14,251.615,0.0465,46.8
Gujiao:GJ-ASH-36c,GJ36c_z9,251.62,0.05,46.8
Gujiao:GJ-ASH-36c,GJ36C_Z7,251.64,0.08,46.8
Gujiao:GJ-ASH-36c,GJ36C_Z6,251.7,0.06,46.8
Gujiao:GJ-ASH-36c,GJ36c_z13,251.724,0.04,46.8
Gujiao:GJ-ASH-36c,GJ36c_z8,251.74,0.065,46.8
Gujiao:GJ-ASH-36c,GJ36c_z4,251.85,0.09,46.8
Gujiao:GJ-ASH-36c,GJ36c_z5,254.35,0.065,46.8
Gujiao:GJ-ASH-36c,GJ36c_z10,257.59,0.0465,46.8
Gujiao:GJ-ASH-36c,GJ36c_z11,258.249,0.033,46.8
Gujiao:GJ-ASH-36c,GJ36c_3ff,325.5,0.085,46.8
Gujiao:GJ-ASH-36c,GJ36c_z12,387.67,0.075,46.8
Gujiao:GJ-ASH-36c,GJ36c_1,416.9,0.14,46.8
Gujiao:GJ-ASH-134,GJ134_z11,250.86,0.07,28.4
Gujiao:GJ-ASH-134,GJ134_2,250.92,0.075,28.4
Gujiao:GJ-ASH-134,GJ134_z7,250.92,0.065,28.4
Gujiao:GJ-ASH-134,GJ134_z4,250.96,0.125,28.4
Gujiao:GJ-ASH-134,GJ134_z10,251.06,0.08,28.4
Gujiao:GJ-ASH-134,GJ134_3,251.32,0.09,28.4
Gujiao:GJ-ASH-134,GJ134_1,251.6,0.145,28.4
Gujiao:GJ-ASH-134,GJ134_z6,251.89,0.125,28.4
Gujiao:GJ-ASH-157,GJ157_z7,250.145,0.048,22.3
Gujiao:GJ-ASH-157,GJ157_z8ss,250.67,0.06,22.3
Gujiao:GJ-ASH-157,GJ157_3,250.766,0.042,22.3
Gujiao:GJ-ASH-157,GJ157_z13,250.85,0.07,22.3
Gujiao:GJ-ASH-157,GJ157_4,251.061,0.042,22.3
Gujiao:GJ-ASH-157,GJ157_5,251.174,0.0375,22.3
Gujiao:GJ-ASH-157,GJ157_2,251.44,0.065,22.3
Gujiao:GJ-ASH-157,GJ157_z12,251.737,0.0425,22.3
Gujiao:GJ-ASH-157,GJ157_1,251.78,0.095,22.3
Gujiao:GJ-ASH-157,GJ157_z6,253.7,0.325,22.3
Gujiao:GJ-ASH-157,GJ157_z10,255.37,0.07,22.3
Gujiao:GJ-ASH-157,GJ157_z9,321.38,0.05,22.3
